id;name;calories_number;glycemic_index;protein_number;fat_number;carbohydrate_number
318;Мороженое пломбир ;227;60;3.2;15;20.8
1094;Овес;316;60;10;6.2;55.1
1098;Отруби;165;60;16;3.8;16.6
1603;Сухой крем для торта;400;60;15;28;30
779;Майонез «провансаль»;627;60;2.4;67;3.9
70;Сахарная кукуруза консервированная ;79;59;2.41;0.5;17.44
1576;Лапша Удон;337;58;10.4;1.1;69.7
1710;Кукурузный сироп;300;58;0;0;98
50;Дикий рис сырой ;353;57;58.92;9.72;274.8
1575;Молодой картофель;61;57;2.4;0.4;12.4
1101;Рис;344;57;6.7;0.7;78.9
1419;Красный рис;341;55;7.69;2.8;71.2
32;Тесто дрожжевое ;320;55;7;6.5;40.7
1583;Бисквитные коржи;258;55;5.9;0.8;56.3
1581;Коржи вафельные;341;55;10.2;4.2;65.7
1585;Масляный крем;315;55;10;20;25
1732;Овсяные отруби;320;55;18;7.7;45.3
716;Печенье овсяное;638;55;7.6;16;72.5
720;Слоеное тесто;400;55;6;25.9;34.8
719;Сливочное печенье;510;55;7;20;69
